rok,delka,hodnoceni_pocet,zanr,zeme
2008,54.0,26,23,3
2009,29.0,31,4,12
2009,118.0,44,4,12
2009,105.0,13,4,12
2009,57.0,450,18,12
2000,130.0,14,10,6
2009,80.0,485,10,10
2008,62.0,199,12,12
2008,44.0,21,4,10
2006,60.0,14,5,11
2000,87.0,18,19,10
2010,97.0,11537,5,10
2008,53.0,56,11,12
2006,60.0,43,11,12
2008,45.0,13,4,9
2007,52.0,51,11,12
2011,41.0,12,5,9
2005,160.0,19,19,10
2011,42.0,139,5,10
2011,42.0,113,5,10
2014,42.0,87,5,10
2010,47.0,203,5,11
2011,64.0,52,5,10
2009,15.0,35,14,12
2010,43.0,15,4,12
2013,42.0,18,1,10
2008,48.0,36,4,11
1984,103.0,150,5,10
2010,240.0,156,26,10
1940,89.0,12,12,10
2005,90.0,184,24,10
2008,58.0,49,4,12
2013,3.0,592,14,9
2011,484.0,242,5,10
1997,10.0,14,14,3
2001,97.0,15,3,2
2013,44.0,66,5,10
2016,46.0,70,12,10
1946,9.0,27,2,1
1987,100.0,66,3,10
1909,6.0,51,14,1
2012,90.0,1844,12,12
1951,79.0,52,12,11
1947,119.0,27,5,10
2008,50.0,69,5,3
2009,52.0,33,4,4
2010,180.0,72,26,10
2010,113.0,1037,12,11
1996,76.0,27,12,12
2008,60.0,33,4,9
2014,21.0,11,12,10
2009,104.0,126,4,1
2011,93.0,1399,12,10
2002,41.0,41,11,9
2012,42.0,25,13,10
2015,1050.0,56,13,10
2016,1050.0,51,13,10
2019,41.0,18,13,10
2014,12.0,27,2,10
2014,12.0,30,2,10
2018,44.0,39,2,10
2010,52.0,75,11,12
2007,5.0,28,14,12
1948,83.0,13,12,10
2008,61.0,32,4,1
2009,6.0,253,14,1
2011,22.0,19,2,10
2011,100.0,206,5,2
2006,60.0,50,21,4
2007,30.0,481,20,9
2010,30.0,33,14,12
2009,5.0,19,14,12
2010,30.0,26,12,11
2009,36.0,73,12,3
2009,53.0,15,4,6
2009,18.0,14,14,10
1962,143.0,29,16,10
2012,121.0,30717,3,10
2017,43.0,13,4,10
2010,17.0,11,4,12
2011,22.0,11,2,10
2006,2.0,46,14,11
2011,5.0,15,4,12
2001,30.0,38,2,3
2013,30.0,70,12,11
2011,80.0,20,12,10
2012,56.0,224,13,10
2010,90.0,329,12,11
2003,43.0,12,4,4
2010,50.0,31,4,1
2000,50.0,12,4,11
2011,23.0,20,2,10
2007,41.0,82,19,10
2011,51.0,11,4,11
2011,70.0,46,10,10
2012,44.0,120,13,10
2010,7.0,36,2,10
2011,24.0,11,2,3
1973,500.0,16,5,7
2012,26.0,13,4,12
1990,8.0,56,14,1
2014,23.0,100,2,10
2012,9.0,16,14,11
2009,7.0,11,14,6
2009,5.0,1234,12,10
2011,180.0,184,5,2
2012,84.0,13,10,10
2010,55.0,68,11,10
2011,94.0,570,1,4
2011,80.0,497,11,10
2017,44.0,67,7,10
2014,41.0,22,12,10
2013,21.0,109,12,10
2010,111.0,177,12,12
2011,20.0,18,4,12
1998,90.0,33,22,10
2010,107.0,16,10,10
2010,8.0,11,2,10
2007,52.0,70,4,6
2011,104.0,79,5,8
2009,4.0,58,14,11
2009,15.0,10,14,12
2013,43.0,171,5,10
2019,42.0,73,5,10
2007,17.0,49,4,12
2010,45.0,45,4,4
2011,1050.0,22,3,13
2011,91.0,110,10,10
2012,95.0,151,10,3
2012,43.0,91,5,10
2006,96.0,79,2,2
2020,88.0,18,13,11
2011,4.0,11,14,10
2010,13.0,19,4,12
2009,60.0,19,4,6
2010,2.0,36,14,6
2009,49.0,68,4,11
2006,19.0,12,14,9
2006,24.0,29,2,3
2012,109.0,19,12,3
1989,79.0,12,10,10
2011,11.0,94,14,9
2011,205.0,210,5,11
2011,52.0,59,5,11
2019,49.0,49,5,11
2010,90.0,90,5,6
2010,90.0,81,12,6
2012,24.0,27,2,10
2013,24.0,18,2,10
2013,23.0,16,2,10
2014,23.0,14,2,10
2011,58.0,13,4,10
2002,85.0,101,4,11
2012,88.0,11,19,10
1986,180.0,40,5,10
1998,74.0,13,10,10
2012,26.0,31,20,9
2011,120.0,36,19,10
2014,24.0,26,2,3
2010,47.0,20,4,11
2009,50.0,26,4,10
2010,72.0,20,10,1
2012,105.0,36,19,10
2012,90.0,207,10,10
2010,180.0,72,13,11
2012,112.0,200,5,2
2013,100.0,389,10,10
1964,170.0,14,5,11
2011,52.0,32,11,12
2000,39.0,207,4,10
2010,50.0,30,4,8
2011,110.0,102,5,6
2012,85.0,100,5,4
2020,530.0,61,5,11
2011,120.0,78,11,12
2012,93.0,10,2,10
2009,139.0,24,4,11
2012,1791.0,608,12,10
1994,30.0,83,27,9
2011,51.0,12,4,10
2008,26.0,77,4,12
2017,26.0,43,4,12
2012,6.0,10,14,12
2009,440.0,160,4,10
2012,5.0,23,14,2
2013,637.0,21,5,10
2018,106.0,471,30,10
