delka,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zeme
24.0,2012,83.0,27,2,10
24.0,2013,93.0,18,2,10
23.0,2013,81.0,16,2,10
23.0,2014,83.0,14,2,10
58.0,2011,92.0,13,4,10
85.0,2002,90.0,101,4,11
88.0,2012,53.0,11,19,10
180.0,1986,30.0,40,5,10
74.0,1998,38.0,13,10,10
26.0,2012,36.0,31,20,9
120.0,2011,48.0,36,19,10
24.0,2014,91.0,26,2,3
47.0,2010,75.0,20,4,11
50.0,2009,86.0,26,4,10
72.0,2010,39.0,20,10,1
105.0,2012,65.0,36,19,10
90.0,2012,40.0,207,10,10
180.0,2010,82.0,72,13,11
112.0,2012,70.0,200,5,2
100.0,2013,43.0,389,10,10
170.0,1964,61.0,14,5,11
52.0,2011,72.0,32,11,12
39.0,2000,82.0,207,4,10
50.0,2010,87.0,30,4,8
110.0,2011,55.0,102,5,6
85.0,2012,72.0,100,5,4
530.0,2020,84.0,61,5,11
120.0,2011,54.0,78,11,12
93.0,2012,68.0,10,2,10
139.0,2009,81.0,24,4,11
1791.0,2012,70.0,608,12,10
30.0,1994,46.0,83,27,9
51.0,2011,75.0,12,4,10
26.0,2008,63.0,77,4,12
26.0,2017,57.0,43,4,12
6.0,2012,34.0,10,14,12
440.0,2009,70.0,160,4,10
5.0,2012,21.0,23,14,2
637.0,2013,64.0,21,5,10
106.0,2018,63.0,471,30,10
54.0,2012,82.0,94,5,10
107.0,2012,61.0,1831,5,10
22.0,2012,67.0,41,4,10
14.0,2007,50.0,26,4,12
6.0,2012,51.0,34,14,12
29.0,2016,93.0,26,5,10
1011.0,2012,82.0,112,1,10
41.0,2017,83.0,23,1,10
42.0,2019,82.0,24,1,10
46.0,2012,74.0,101,13,10
43.0,2015,60.0,37,13,10
43.0,2016,69.0,38,13,10
43.0,2019,82.0,34,13,10
90.0,2012,52.0,273,10,11
45.0,2012,44.0,103,12,12
87.0,2012,51.0,139,11,10
88.0,2011,74.0,16,5,10
12.0,2016,93.0,12,2,10
12.0,2016,72.0,10,2,10
104.0,2012,66.0,913,4,12
43.0,2012,69.0,33,1,10
60.0,2016,73.0,15,1,10
23.0,2013,65.0,12,12,10
123.0,1980,74.0,164,13,10
53.0,2015,70.0,22,4,12
140.0,1975,79.0,891,12,2
43.0,2012,73.0,11,5,10
58.0,1994,43.0,126,12,12
45.0,2015,86.0,24,17,10
23.0,2012,88.0,58,2,3
24.0,2012,67.0,27,2,3
60.0,2010,79.0,20,4,11
93.0,2014,54.0,3731,12,10
60.0,2013,78.0,440,5,11
43.0,2014,62.0,12,13,10
