rok,delka,hodnoceni_pocet,zanr,zeme
1909,6.0,51,Krátkometrážní,Francie
2012,90.0,1 844,Komedie,Česko
1951,79.0,52,Komedie,Velká Británie
1947,119.0,27,Drama,USA
2008,50.0,69,Drama,Japonsko
2009,52.0,33,Dokumentární,Kanada
2010,180.0,72,Sportovní,USA
2010,113.0,1 037,Komedie,Velká Británie
1996,76.0,27,Komedie,Česko
2008,60.0,33,Dokumentární,Slovensko
2014,21.0,11,Komedie,USA
2009,104.0,126,Dokumentární,Francie
2011,93.0,1 399,Komedie,USA
2002,41.0,41,Hudební,Slovensko
2012,42.0,25,Krimi,USA
(2015–2016),1050.0,56,Krimi,USA
(2016–2017),1050.0,51,Krimi,USA
2019,41.0,18,Krimi,USA
2014,12.0,27,Animovaný,USA
2014,12.0,30,Animovaný,USA
2018,44.0,39,Animovaný,USA
2010,52.0,75,Hudební,Česko
2007,5.0,28,Krátkometrážní,Česko
1948,83.0,13,Komedie,USA
2008,61.0,32,Dokumentární,Francie
2009,6.0,253,Krátkometrážní,Francie
2011,22.0,19,Animovaný,USA
2011,100.0,206,Drama,Itálie
2006,60.0,50,Reality-TV,Kanada
2007,30.0,481,Publicistický,Slovensko
2010,30.0,33,Krátkometrážní,Česko
2009,5.0,19,Krátkometrážní,Česko
2010,30.0,26,Komedie,Velká Británie
2009,36.0,73,Komedie,Japonsko
2009,53.0,15,Dokumentární,Německo
2009,18.0,14,Krátkometrážní,USA
1962,143.0,29,Muzikál,USA
2012,121.0,30 717,Dobrodružný,USA
2017,43.0,13,Dokumentární,USA
2010,17.0,11,Dokumentární,Česko
2011,22.0,11,Animovaný,USA
2006,2.0,46,Krátkometrážní,Velká Británie
2011,5.0,15,Dokumentární,Česko
2001,30.0,38,Animovaný,Japonsko
2013,30.0,70,Komedie,Velká Británie
2011,80.0,20,Komedie,USA
2012,56.0,224,Krimi,USA
2010,90.0,329,Komedie,Velká Británie
2003,43.0,12,Dokumentární,Kanada
2010,50.0,31,Dokumentární,Francie
2000,50.0,12,Dokumentární,Velká Británie
2011,23.0,20,Animovaný,USA
2007,41.0,82,Pornografický,USA
2011,51.0,11,Dokumentární,Velká Británie
2011,70.0,46,Horor,USA
2012,44.0,120,Krimi,USA
2010,7.0,36,Animovaný,USA
2011,24.0,11,Animovaný,Japonsko
1973,500.0,16,Drama,Polsko
2012,26.0,13,Dokumentární,Česko
1990,8.0,56,Krátkometrážní,Francie
2014,23.0,100,Animovaný,USA
2012,9.0,16,Krátkometrážní,Velká Británie
2009,7.0,11,Krátkometrážní,Německo
2009,5.0,1 234,Komedie,USA
2011,180.0,184,Drama,Itálie
2012,84.0,13,Horor,USA
2010,55.0,68,Hudební,USA
2011,94.0,570,Akční,Kanada
2011,80.0,497,Hudební,USA
2017,44.0,67,Fantasy,USA
2014,41.0,22,Komedie,USA
2013,21.0,109,Komedie,USA
2010,111.0,177,Komedie,Česko
2011,20.0,18,Dokumentární,Česko
1998,90.0,33,Rodinný,USA
2010,107.0,16,Horor,USA
2010,8.0,11,Animovaný,USA
2007,52.0,70,Dokumentární,Německo
2011,104.0,79,Drama,Rakousko
2009,4.0,58,Krátkometrážní,Velká Británie
2009,15.0,10,Krátkometrážní,Česko
2013,43.0,171,Drama,USA
2019,42.0,73,Drama,USA
2007,17.0,49,Dokumentární,Česko
2010,45.0,45,Dokumentární,Kanada
(2011–2012),1050.0,22,Dobrodružný,Španělsko
2011,91.0,110,Horor,USA
2012,95.0,151,Horor,Japonsko
2012,43.0,91,Drama,USA
2006,96.0,79,Animovaný,Itálie
2020,88.0,18,Krimi,Velká Británie
2011,4.0,11,Krátkometrážní,USA
2010,13.0,19,Dokumentární,Česko
2009,60.0,19,Dokumentární,Německo
2010,2.0,36,Krátkometrážní,Německo
2009,49.0,68,Dokumentární,Velká Británie
2006,19.0,12,Krátkometrážní,Slovensko
2006,24.0,29,Animovaný,Japonsko
2012,109.0,19,Komedie,Japonsko
1989,79.0,12,Horor,USA
2011,11.0,94,Krátkometrážní,Slovensko
2011,205.0,210,Drama,Velká Británie
2011,52.0,59,Drama,Velká Británie
2019,49.0,49,Drama,Velká Británie
2010,90.0,90,Drama,Německo
2010,90.0,81,Komedie,Německo
2012,24.0,27,Animovaný,USA
2013,24.0,18,Animovaný,USA
2013,23.0,16,Animovaný,USA
2014,23.0,14,Animovaný,USA
2011,58.0,13,Dokumentární,USA
2002,85.0,101,Dokumentární,Velká Británie
2012,88.0,11,Pornografický,USA
1986,180.0,40,Drama,USA
1998,74.0,13,Horor,USA
2012,26.0,31,Publicistický,Slovensko
2011,120.0,36,Pornografický,USA
2014,24.0,26,Animovaný,Japonsko
2010,47.0,20,Dokumentární,Velká Británie
2009,50.0,26,Dokumentární,USA
2010,72.0,20,Horor,Francie
2012,105.0,36,Pornografický,USA
2012,90.0,207,Horor,USA
2010,180.0,72,Krimi,Velká Británie
2012,112.0,200,Drama,Itálie
2013,100.0,389,Horor,USA
1964,170.0,14,Drama,Velká Británie
2011,52.0,32,Hudební,Česko
2000,39.0,207,Dokumentární,USA
2010,50.0,30,Dokumentární,Rakousko
2011,110.0,102,Drama,Německo
2012,85.0,100,Drama,Kanada
2020,530.0,61,Drama,Velká Británie
2011,120.0,78,Hudební,Česko
2012,93.0,10,Animovaný,USA
2009,139.0,24,Dokumentární,Velká Británie
(2012–2019),1791.0,608,Komedie,USA
1994,30.0,83,Talk-show,Slovensko
2011,51.0,12,Dokumentární,USA
2008,26.0,77,Dokumentární,Česko
2017,26.0,43,Dokumentární,Česko
2012,6.0,10,Krátkometrážní,Česko
2009,440.0,160,Dokumentární,USA
2012,5.0,23,Krátkometrážní,Itálie
2013,637.0,21,Drama,USA
2018,106.0,471,Životopisný,USA
2012,54.0,94,Drama,USA
2012,107.0,1 831,Drama,USA
2012,22.0,41,Dokumentární,USA
2007,14.0,26,Dokumentární,Česko
2012,6.0,34,Krátkometrážní,Česko
2016,29.0,26,Drama,USA
(2012–2013),1011.0,112,Akční,USA
2017,41.0,23,Akční,USA
2019,42.0,24,Akční,USA
2012,46.0,101,Krimi,USA
2015,43.0,37,Krimi,USA
2016,43.0,38,Krimi,USA
2019,43.0,34,Krimi,USA
2012,90.0,273,Horor,Velká Británie
2012,45.0,103,Komedie,Česko
2012,87.0,139,Hudební,USA
2011,88.0,16,Drama,USA
2016,12.0,12,Animovaný,USA
2016,12.0,10,Animovaný,USA
2012,104.0,913,Dokumentární,Česko
2012,43.0,33,Akční,USA
2016,60.0,15,Akční,USA
2013,23.0,12,Komedie,USA
1980,123.0,164,Krimi,USA
2015,53.0,22,Dokumentární,Česko
1975,140.0,891,Komedie,Itálie
2012,43.0,11,Drama,USA
1994,58.0,126,Komedie,Česko
2015,45.0,24,Mysteriózní,USA
2012,23.0,58,Animovaný,Japonsko
2012,24.0,27,Animovaný,Japonsko
2010,60.0,20,Dokumentární,Velká Británie
2014,93.0,3 731,Komedie,USA
2013,60.0,440,Drama,Velká Británie
2014,43.0,12,Krimi,USA
(2015–2016),968.0,24,Krimi,USA
1985,100.0,31,Komedie,Francie
2011,4.0,12,Krátkometrážní,USA
2008,30.0,45,Dokumentární,USA
2000,98.0,196,Komedie,USA
2011,17.0,27,Krátkometrážní,Polsko
2009,4.0,27,Krátkometrážní,USA
2013,43.0,13,Komedie,USA
2016,420.0,25,Komedie,USA
2008,45.0,22,Dokumentární,Velká Británie
2014,87.0,11,Mysteriózní,USA
1972,98.0,1 872,Komedie,Francie
1969,90.0,14,Komedie,Francie
2016,25.0,22,Animovaný,Japonsko
2018,25.0,25,Animovaný,Japonsko
2012,23.0,16,Animovaný,Japonsko
